Token;Label;accord
"
";;
leurs;;
0;;
grand;;
Louis;PER;PER
achtera;;
de;;
loere;;
A;;
la;;
livre;;
et;;
"
";;
da;;
1huila;PER;PER
de;;
rebut;;
";";;
il;;
broiera;;
lui;;
0;;
meme;;
lacouleur;;
];;
"
";;
et;;
peindra;;
ensuite;;
0;;
ee;;
nest;;
pas;;
bien;;
diffieile;PER;PER
.;;
"
";;
ii;;
0;;
Gai;PER;PER
i;PER;PER
ani;;
anuinti;;
a;;
"
";;
en;;
viendra;;
biein;PER;PER
a;;
hout;;
.;;
s3EANN;;
EOUS;MISC;MISC
RT;;
MRIE;;
.;;
"
";;
Ien0;MISC;MISC
admiro;;
aa;;
malaan;;
"
";;
eo;;
];;
"
";;
Vars;LOC;LOC
la;;
Saint-laan;MISC;MISC
da;MISC;MISC
l';MISC;MISC
ann6a;MISC;MISC
suivanto;MISC;MISC
0;;
l';;
an;;
or6-;;
];;
"
";;
pit;;
las;;
murs;;
et;;
lon;PER;PER
plafannna;PER;PER
les;;
obamhros;;
por;;
];;
"
";;
qu';;
allaes;PER;PER
fssaent;PER;PER
plus;;
haudas;;
.;;
leanna;PER;PER
fltmattrs;PER;PER
una;PER;PER
];;
"
";;
etite;;
euahe;;
da;;
pltre;;
 ;;
lint6rieur;;
.;;
Ella;PER;PER
avaiteu;PER;PER
];;
"
";;
pandant;;
l';;
hiver;;
un;;
gargon;PER;PER
i;PER;PER
qui;;
son;;
parrain;;
0;;
mal-;;
];;
"
";;
tre;PER;PER
Tixier;PER;PER
0;;
avait;;
donu6;;
la;;
nom;;
de;;
fSylvn;MISC;MISC
0;;
et;;
ella;;
];;
"
";;
auutit;;
qu';;
il;;
etuit;;
tmps;;
le;;
quittr;LOC;LOC
lu;LOC;LOC
Grund;LOC;LOC
-il;;
.;;
];;
"
";;
Quoique;;
Etisnne;PER;PER
Durand;PER;PER
0;;
qui;;
gouvornait;;
i;;
peu;;
];;
"
";;
prbs;;
tout;;
dans;;
la;;
maison;;
0;;
ft;PER;PER
touiours;PER;PER
hon;PER;PER
pour;;
];;
"
";;
alle;LOC;LOC
et;;
pour;;
sou;PER;PER
uuri;PER;PER
0;;
il;;
uuruit;;
fini;;
pur;;
s';;
oeunuye;;
];;
"
";;
de;;
leurs;;
onfants;;
.;;
Elle;;
se;;
mettait;;
souvent;;
i;;
la;;
porte;;
];;
"
";;
poeur;;
regrder;;
sa;;
maison;;
.;;
Louise;PER;PER
lui;;
disait;;
:;;
"
 ";;
Hlein;PER;PER
l;;
comme;;
tu;;
voudrais;;
y;;
tre;;
djhl;;
"
";;
--Cest;;
vrai;;
0;;
ma;;
Louise;PER;PER
.;;
Je;;
vous;;
aime;;
pour-;;
];;
"
";;
tant;;
de;;
toutes;;
mes;;
forces;;
0;;
et;;
j';;
ai;;
bien;;
lieu;;
de;;
vous;;
];;
"
";;
aimer;;
";";;
mais;;
0;;
vois;;
0;;
tu;;
0;;
s';;
estplusfortque;;
moi;;
:;;
quand;;
"
";;
je;;
penee;;
que;;
nous;;
serons;;
dans;;
une;;
maison;;
ad;;
noues;;
0;;
];;
"
";;
il;;
me;;
semble;;
que;;
mon;;
cceur;;
elate;;
au;;
dedans;;
de;;
];;
"
";;
moi;;
.;;
C';;
est;;
si;;
bon;;
de;;
se;;
sentir;;
ches;;
soiet;;
de;;
sedire;;
];;
"
";;
quon;;
est;;
 ;;
l';;
abri;;
pour;;
le;;
reste;;
de;;
ees;PER;PER
joursl;PER;PER
"
";;
0;;
Et;;
des;;
meubles;;
0;;
petite;;
Ieannel;PER;PER
sais;;
0;;
tu;;
que;;
"
";;
ton;;
pauvre;;
lit;;
et;;
l';;
armoire;;
de;;
la;;
mre;;
Nannette;LOC;LOC
ne;;
"
";;
feront;;
pas;;
grande;;
figure;;
dans;;
ces;;
chamhres;;
si;;
];;
"
";;
blanehesf;PER;PER
"
";PER;PER
0;;
Cest;;
bien;;
li;PER;PER
mon;PER;PER
souei;PER;PER
";";;
je;;
nose;;
pas;;
en;;
par-;;
"
";;
ler;;
h;;
grand;;
Louis;PER;PER
:;;
les;;
hommes;;
ne;;
comprennent;;
"
";;
pas;;
combien;;
une;;
m6nagre;;
est;;
eontente;;
d';;
avoir;;
un;;
"
";;
joli;;
mobilier;;
";";;
il;;
a;;
depens6;;
tant;;
d';;
argent;;
poeur;;
cette;;
];;
"
";;
btisse;;
0;;
quil;;
ne;;
serait;;
peut;;
0;;
etre;;
pas;;
raisonnable106;PER;PER
"
";;
TH0IsIM;;
PAHTIR;;
0;;
"
";;
de;;
pnaar;MISC;MISC
h;MISC;MISC
autr;MISC;MISC
ohasa;MISC;MISC
.;;
Pourtant;;
0;;
omma;;
tan;;
"
";;
nbro;;
lui;;
on;;
a;;
avune6;;
0;;
nous;;
avons;;
bion;;
anaora;;
da;;
"
";;
quoi;;
aoheter;PER;PER
uno;PER;PER
armoir;;
et;;
un;;
lit;;
.;;
"
";;
0;;
lh;;
hianl;;
moi;;
0;;
jo;PER;PER
lui;;
on;;
parlarai;MISC;MISC
 ;;
soue;;
0;;
"
";;
ois;PER;PER
tranquillo;PER;PER
0;;
"
";;
Loule;LOC;LOC
piaisunto;;
grand;;
Louls;;
sur;;
san;;
llain;PER;PER
mohllier;PER;PER
.;;
"
";;
Io;LOC;LOC
soir;;
0;;
ILouisa;MISC;MISC
dit;;
i;;
grund;;
ILouis;MISC;MISC
:;;
"
";;
a;;
lst;;
0;;
e;;
quo;;
tu;;
eomtea;;
mottre;;
dans;;
ta;;
bllao;;
"
";;
hambrs;;
lo;;
viluin;;
lit;;
deJeunne;PER;PER
oet;PER;PER
son;;
vieux;;
coffa;;
"
";;
(;;
Ce;;
sera;;
jolil;PER;PER
out;PER;PER
lo;PER;PER
monlo;PER;PER
e;PER;PER
maquora;PER;PER
de;;
toi;;
:;;
ils;;
"
";;
liront;;
qu;;
au;;
dehors;;
tu;;
fais;;
le;;
farawl;;
avee;;
tu;;
mi-;;
"
";;
on;;
qui;;
n';;
est;;
pas;;
faite;;
commo;;
les;;
autres;;
0;;
et;;
quuau;PER;PER
"
";PER;PER
leduns;PER;PER
tu;PER;PER
n';;
us;LOC;LOC
pas;;
seulement;;
dae;;
quoi;;
te;;
coucher;;
.;;
"
";;
0;;
Tu;;
as;;
bion;;
ruaison;;
0;;
ma;;
Louise;PER;PER
0;;
et;;
];;
y;;
pnse;;
"
";;
depuis;;
longtonps;PER;PER
.;;
le;;
sais;;
bien;;
que;;
leanne;LOC;LOC
a;;
nvis;PER;PER
"
";;
d';;
un;;
mobilier;;
neuf;;
0;;
quoiqu';;
elle;;
n';;
on;;
.;;
dise;;
rien;;
";";;
"
";;
et;;
moi;;
je;;
ne;;
suis;;
heureux;;
que;;
quand;;
elle;;
est;;
con-;;
"
";;
tente;;
.;;
Il;;
nous;;
faudrait;;
un;;
lit;;
0;;
une;;
;;
armoie;LOC;LOC
et;;
des;;
"
";;
chaises;;
cirees;;
";";;
son;;
vieux;;
coffre;;
servirait;;
de;;
huche;;
"
";;
h;;
petrir;;
le;;
pain;;
.;;
"
";;
0;;
Et;;
oi;;
dono;;
veux;;
0;;
tu;;
qu';;
elle;;
mette;;
le;;
linge;;
"
";;
que;;
vous;;
quitterez;;
toutes;;
les;;
semaines;;
0;;
quand;;
elle;;
"
";;
laura;PER;PER
passe;;
par;;
l';;
aaut;;
Il;;
y;;
aura;;
trop;;
de;;
choses;;
"
";;
dans;;
le;;
grenier;;
pour;;
ly;LOC;LOC
placer;;
0;;
et;;
tu;;
ne;;
veux;;
pas;;
0;;
"
";;
jespre;;
0;;
le;;
voir;;
trafner;MISC;MISC
dans;MISC;MISC
la;MISC;MISC
maison;MISC;MISC
.;;
"
";;
--;;
Mais;;
0;;
Louise;PER;PER
0;;
orois;;
0;;
tu;;
que;;
ce;;
serait;;
bier;;
"
";;
d';;
aeheter;;
du;;
mobilier;;
0;;
quand;;
je;;
dois;;
tant;;
d';;
argeni;;
"
";;
a;;
ten;;
pre;;
;;
"
";;
:;;
:;;
:;;
:;;
:;;
:;;
1EANNE;;
RPOUR;;
RT;;
MRRR;;
.;;
"
";;
1s;;
"
";;
frai;;
ggnerl;;
tu;;
l';;
aurais;;
la;;
0;;
dana;PER;PER
le;PER;PER
oroux;PER;PER
do;;
tu;;
"
";;
muin;;
0;;
u;LOC;LOC
o;;
n';;
oen;PER;PER
voudraias;PER;PER
pus;PER;PER
:;;
oest;;
une;;
rdeom-;;
"
";;
pens;;
qu;;
a;;
voux;PER;PER
t;PER;PER
donnor;PER;PER
0;;
moil;PER;PER
oas;PER;PER
0;PER;PER
tu;PER;PER
dnetroep;PER;PER
"
";;
flar;;
pour;;
la;;
prendr;;
tout;;
simplemnt;;
?;;
Daillurs;;
0;;
"
";;
tu;;
ais;;
hien;;
qu;;
jo;PER;PER
no;PER;PER
refuaa;PER;PER
pus;PER;PER
dabliger;PER;PER
un;;
ami;;
"
";;
dans;;
lomhnrras;LOC;LOC
";";;
seulomnt;ORG;ORG
ie;ORG;ORG
veux;;
tr;;
remhoursi;;
"
";;
u;;
iau;;
dit;;
0;;
enr;;
i';;
ai;;
l';;
oxautitud;;
avant;;
tout;;
.;;
"
";;
0;;
(;;
;;
ot;;
hian;;
ga;;
qui;;
me;;
truuse;;
";";;
ceu;ORG;ORG
si;;
e;;
v-;;
"
";;
nuis;;
i;;
mourir;;
avant;;
d;;
vous;;
avoir;;
rhurs6l;;
"
";;
0;;
Eh;;
bionl;;
js;;
prendruais;;
un;;
de;;
tss;;
champs;;
on;;
"
";;
pnyemnent;;
";";;
ainsi;;
n';;
en;;
parlonas;;
plus;;
0;;
gn;ORG;ORG
monnuie;ORG;ORG
.;;
"
";;
Ahl;MISC;MISC
aoouto;MISC;MISC
dono;MISC;MISC
c;MISC;MISC
qt;PER;PER
jo;PER;PER
vais;;
te;;
dire;;
:;;
Pr6v0;;
t;;
0;;
d;;
"
";;
la;;
Ilordinarie;LOC;LOC
0;;
n';;
a;;
pus;;
voulu;;
mo;PER;PER
aroiro;PER;PER
quanl;PER;PER
j;;
"
";;
lui;;
disnais;;
:;;
a;;
Fuuche;ORG;ORG
tes;ORG;ORG
pres;ORG;ORG
0;;
tu;;
laisses;;
trop;;
m-;;
"
";;
a;;
rir;;
ton;;
foin;;
";";;
tes;;
seigles;;
auront;;
besoin;;
d';;
tre;;
"
 ";;
coupes;;
avant;;
que;;
tuaies;PER;PER
fini;PER;PER
ta;PER;PER
fuuchaison;PER;PER
0;;
et;;
tu;;
"
";;
u;;
te;;
trouvoras;;
dans;;
lembarras;LOC;LOC
";";;
tu;;
ne;;
suuras;;
aux-;;
"
";;
a;;
quels;;
aller;;
";";;
et;;
0;;
si;;
le;;
temps;;
se;;
mettait;;
la;;
pluie;;
0;;
"
";;
a;;
comment;;
ferais;;
0;;
tu?-;;
Bah;;
I;PER;PER
pere;PER;PER
Tixier;PER;PER
0;;
me;;
re-;;
"
 ";;
pondait;;
-il;;
0;;
vous;;
voyez;;
touours;;
tout;;
en;;
noir;;
";";;
"
";;
w;;
parce;;
que;;
vous;;
etes;;
plus;;
vieux;;
que;;
moi;;
0;;
yous;;
"
";;
:;;
zz;;
:;;
:;;
:;;
"
";;
a;;
j';;
ai;;
fait;;
pls;;
d';;
une;;
betise;;
dans;;
ma;;
vie;;
0;;
et;;
jesais;;
];;
"
";;
a;;
ce;;
qu';;
il;;
en;;
eotel;;
Tu;MISC;MISC
ne;MISC;MISC
veux;MISC;MISC
pas;MISC;MISC
m'6couter;MISC;MISC
0;;
eh;;
"
";;
a;;
bien;;
0;;
tu;;
verrasl;;
 ;;
Ca;LOC;LOC
n';;
a;;
pas;;
manque;;
";";;
voilh;;
le;;
"
";;
temps;;
qui;;
menaee;;
";";;
il;;
a;;
6t6;;
oblig6;;
de;;
prendre;;
le;;
"
";;
double;;
de;;
monde;;
pour;;
faucher;;
et;;
pour;;
faner;;
0;;
et;;
il;;
"
";;
est;;
venu;;
demiander;PER;PER
 ;;
Etienne;PER;PER
la;PER;PER
grande;PER;PER
voiture;PER;PER
a;;
"
";;
6ehelles;;
et;;
les;;
juments;;
";";;
mais;;
j';;
ai;;
d6fendu;;
de;;
rien;;
"
";;
lui;;
donner;;
.;;
Il;;
a;;
fait;;
la;;
sottise;;
0;;
il;;
faut;;
qu';;
il;;
la;;
"
";;
hoie;LOC;LOC
.;;
"
";;
--;;
Notre;;
mattre;;
0;;
dit;;
grand;;
Louis;PER;PER
0;;
quand;;
Pr6v0t188;MISC;MISC
"
";MISC;MISC
T0IBIMI;MISC;MISC
ATIE;MISC;MISC
.;;
"
";;
ost;;
vanu;;
vous;;
dire;;
0;;
l';;
an;;
psf;ORG;ORG
0;;
qu';;
il;;
avaitquelguea;;
];;
"
";;
honnes;;
houtailles;;
de;;
vin;;
blano;;
que;;
sadfunte;;
tanta;;
];;
"
";;
lui;;
avait;;
laissees;PER;PER
0;;
aet;;
qu';;
il;;
fhllait;;
venir;;
 ;;
le;;
hoi;ORG;ORG
];;
"
";;
vse;MISC;MISC
lui;;
0;;
j;MISC;MISC
m;MISC;MISC
souvions;MISC;MISC
que;;
voeus;PER;PER
n';;
y;;
aen;PER;PER
en;;
];;
"
";;
mnqi;MISC;MISC
"
";MISC;MISC
0;MISC;MISC
Cost;MISC;MISC
wmi;MISC;MISC
0;;
et;;
e6tait;;
du;;
fameux;;
vin;;
0;;
onorl;;
];;
"
";;
0;;
Pourquoi;;
dns;;
ne;;
l';;
ailerien;;
-vous;;
pas;;
 ;;
boira;;
];;
"
";;
u;;
settiae;;
aujourd'hui;;
0;;
semme;PER;PER
veus;PER;PER
laes;PER;PER
aid6;PER;PER
a;;
"
";;
hoira;PER;PER
aon;PER;PER
vin;;
lan;;
dernior;;
?;;
"
";;
0;;
Cost;;
juste;;
0;;
gud;PER;PER
Ieis;PER;PER
";";;
juai;;
tort;;
0;;
et;;
tu;;
as;;
"
";;
raison;;
.;;
Il;;
faut;;
aider;;
Prvt;LOC;LOC
0;;
qui;;
eourt;;
grand;;
risuo;;
];;
"
";;
de;;
perdre;;
ses;;
feins;;
.;;
C6tait;;
mal;;
0;;
eo;;
que;;
je;;
disais;;
lh;;
.;;
];;
"
";;
Dn;LOC;LOC
a;;
henu;;
fair;;
0;;
ce;;
ehien;;
dorgueil;;
rsvient;;
teu-;;
"
";;
jours;;
l;;
u;;
prendras;;
tes;;
juments;;
et;;
ta;;
voiture;;
h;;
ri-;;
];;
"
";;
dlles;LOC;LOC
0;;
et;;
tua;;
truavailleras;PER;PER
pour;;
lui;;
tant;;
qu';;
il;;
n';;
aura;;
];;
"
";;
pas;;
serr;;
son;;
tourrage;;
.;;
"
";;
Ieanne;LOC;LOC
va;;
4mImner;;
ses;;
meuhlss;PER;PER
.;;
"
";;
Le;;
jeudi;;
suivant;;
0;;
maitre;PER;PER
ixier;PER;PER
emmena;PER;PER
eanne;PER;PER
"
";;
oen;;
ville;;
pour;;
acheter;;
ses;;
meubles;;
.;;
"
";;
a;;
Mon;MISC;MISC
pre;MISC;MISC
0;;
dit;;
Louise;PER;PER
0;;
emmene;;
-moi;;
done;;
"
";;
aussi;;
 ;;
je;;
veudrais;;
choisir;;
les;;
toffes;;
de;;
son;;
lit;;
"
";;
avee;;
elle;;
.;;
"
";;
0;;
Bt;;
la;;
petite;;
Nannettef;LOC;LOC
"
";;
0;;
Je;;
vais;;
la;;
faire;;
bien;;
bslle;;
etje;;
l';;
emmnerai;;
"
";;
eomme;;
eanne;;
emmbene;;
Sylvain;PER;PER
.;;
"
";;
En;;
chemin;;
0;;
le;;
pbre;;
Tixier;PER;PER
dit;;
 ;;
Jeanne;PER;PER
:;;
"
";;
a;;
Ne;;
va;;
pas;;
faire;;
la;;
sotte;;
0;;
au;;
moins;;
ljentends;PER;PER
"
";;
ue;;
u;;
nuudes;;
teut;;
ee;;
quil;;
te;;
fut;;
";";;
daiileurs;;
0;;
];;
"
";;
je;;
serai;;
la;;
0;;
et;;
nous;;
verrons;;
bienl;PER;PER
a;;
"
";;
Quand;;
ils;;
furent;;
chez;;
le;;
menuisier;;
0;;
Jeanne]JANN;MISC;MISC
tP0OUBE;;
 ;;
MIR;ORG;ORG
.;;
"
";;
130;;
"
";;
aommunda;;
une;;
holle;LOC;LOC
armoirs;LOC;LOC
en;;
nayor;LOC;LOC
0;;
un;;
lit;;
0;;
une;;
"
";;
tahle;;
aet;;
une;;
huuha;MISC;MISC
0;;
du;;
mma;ORG;ORG
hois;;
0;;
et;;
la;;
manuisier;;
"
";;
dit;;
qu';;
il;;
lui;;
donneruit;;
une;;
table;;
eomnune;;
pr-;;
"
";;
dessus;;
la;;
marh8;MISC;MISC
0;;
"
";;
a;;
Kt;PER;PER
un;;
moulin;;
pour;;
sassr;;
ta;;
farinsf;;
"
";;
0;;
Nutre;LOC;LOC
muitre;;
0;;
ce;;
n';;
est;;
pus;;
bian;;
neaessuire;;
"
";;
pour;;
lintant;;
";";;
vous;;
me;;
luisore;;
bian;;
susar;;
shez;;
"
";;
vous;;
";";;
e;;
aera;;
un;;
pou;;
do;;
peine;;
poeur;;
gruand;;
iLouia;MISC;MISC
"
";MISC;MISC
ui;MISC;MISC
prtora;MISC;MISC
le;ORG;ORG
sne;ORG;ORG
0;;
et;;
voili;PER;PER
tout;;
.;;
"
";;
--;;
Je;;
no;;
veux;;
puint;;
d;PER;PER
u;PER;PER
";";;
tu;;
vuas;;
te;;
smmandor;;
"
";;
un;;
joli;;
moulin;;
pureil;;
aux;;
autres;;
meubles;;
:;;
je;;
non-;;
"
";;
tends;;
pus;;
qu';;
il;;
munquo;;
quolque;;
chose;;
 ;;
ton;;
m6-;MISC;MISC
"
";;
nug;;
.;;
"
";;
Ils;;
choisirent;;
six;;
chaises;;
en;;
noyer;;
0;;
et;;
le;;
pbre;;
"
";;
Tixier;PER;PER
acheta;;
un;;
petit;;
fauteuil;;
semblable;;
0;;
en;;
disuant;;
"
";;
que;;
ce;;
serait;;
pour;;
son;;
filleul;;
quand;;
il;;
pourrait;;
"
";;
s';;
aen;PER;PER
servir;;
0;;
0On;;
alla;;
aensuite;PER;PER
chez;;
le;PER;PER
marchund;PER;PER
d'6-;;
"
";;
toffes;;
pour;;
prendre;;
les;;
rideaux;;
du;;
lit;;
.;;
"
";;
a;;
J';MISC;MISC
aurais;MISC;MISC
bien;MISC;MISC
desir6;MISC;MISC
qu';MISC;MISC
ils;MISC;MISC
fussent;MISC;MISC
en;MISC;MISC
ge;MISC;MISC
"
";MISC;MISC
verte;MISC;MISC
0;;
dit;;
leanne;;
a;;
Louise;PER;PER
0;;
;;
est;;
plus;;
cossu;;
";";;
nais;;
"
";;
jen';;
ui;;
pas;;
assez;;
d';;
argent;;
.;;
n;;
"
";;
Elles;;
ehoisirent;;
done;;
une;;
helle;;
cotonnade;;
rouge;;
"
 ";;
raies;;
";";;
lLouise;PER;PER
forea;PER;PER
leanne;PER;PER
a;;
prendre;;
une;;
jolie;;
"
";;
indienne;;
a;;
fleurs;;
bleues;;
sur;;
un;;
fond;;
blano;;
pour;;
"
";;
faire;;
l';;
interieur;;
du.lit;;
et;;
la;;
courte-pointe;;
0;;
et;;
anfin;;
"
";;
une;;
bonne;;
couverture;;
de;;
laine;;
.;;
Puis;;
elles;;
aehete-;;
"
";;
rent;;
aussi;;
tous;;
les;;
men;;
ustensiles;;
neaoessaires;;
"
";;
dans;;
un;;
menage;;
.;;
"
";;
a;;
ois;PER;PER
done;PER;PER
0;;
ma;;
Louisel;MISC;MISC
javais;;
apport6;;
denx;;
"
";;
ceul;;
irnos;;
0;;
;;
et;;
il;;
ue;MISC;MISC
men;MISC;MISC
resfte;MISC;MISC
plus;;
que;;
dix;;
.;;
"
";;
Que;;
ga;;
cote;;
done;;
de;;
se;;
mettre;;
A;LOC;LOC
son;;
menagel;LOC;LOC
"
";;
0;;
Que;;
veux;;
0;;
tu;;
0;;
ma;;
pauvre;;
lJeanne;MISC;MISC
r;;
on;;
ne;;
s';;
y10;;
"
";;
ToIsIi;;
PARTIR;ORG;ORG
.;;
"
";;
met;;
qu';;
une;;
fis;;
duns;;
la;;
vie;;
.;;
Mtais;PER;PER
tu;;
aes;;
si;;
prepe;PER;PER
"
";;
si;;
m6nagbr;;
0;;
que;;
tout;;
ton;;
mhilier;LOC;LOC
aura;;
taujours;;
"
";;
lair;;
neuf;;
0;;
n;;
"
";;
Ieanne;PER;PER
ehurgea;PER;PER
une;;
habilo;;
ouvribre;;
de;;
faira;;
ses;;
"
";;
rideaux;;
ainsi;;
qu;;
la;;
garniturs;;
do;;
son;;
lit;;
0;;
et;;
de-;;
"
";;
munda;;
qu';;
an;;
les;;
lui;;
randtt;PER;PER
le;;
plus;;
tt;;
pssible;;
.;;
"
";;
a;;
Pourquoi;;
dono;;
tant;;
to;LOC;LOC
presr;LOC;LOC
0;;
Jeunne;ORG;ORG
l;ORG;ORG
tu;ORG;ORG
as;ORG;ORG
"
";ORG;ORG
bian;ORG;ORG
l;ORG;ORG
temnps;ORG;ORG
de;;
te;;
mettre;;
h;;
ton;;
mnage;;
"
";;
0;;
Non;;
0;;
ja;PER;PER
nai;PER;PER
quo;;
ls;;
temps;;
bien;;
juste;;
";";;
aves;;
"
";;
mes;;
deux;;
enfants;;
jo;;
ne;;
fais;;
plus;;
rion;MISC;MISC
chez;;
vous;;
0;;
"
";;
e';PER;PER
est;;
i;;
peine;;
si;;
je;;
ggne;;
le;;
pin;;
quej;;
mange;;
";";;
il;;
"
";;
faut;;
que;;
ea;ORG;ORG
uit;ORG;ORG
une;;
fin;;
et;;
que;;
jaille;;
dans;;
ma;;
mai-;;
"
";;
son;;
entre;;
la;;
moisson;;
et;;
les;;
vendanges;;
0;;
au;;
temps;;
"
";;
oi;;
grand;;
Louis;PER;PER
n';;
est;;
pas;;
oceup6;;
.;;
"
";;
eanne;PER;PER
dmnage;PER;PER
peu;;
 ;;
p6u;;
.;;
"
";;
Quand;;
le;;
mobilier;;
fut;;
rendu;;
et;;
mis;;
en;;
plaes;;
0;;
"
";;
grand;;
Louis;PER;PER
dit;;
 ;;
son;;
mattre;;
:;;
"
 ";;
Votre;;
maison;;
est;;
trop;;
pleine;;
0;;
et;;
cette;;
autre;;
lh-;;
"
";;
bas;;
s';;
ennuie;;
d';;
etre;;
vide;;
.;;
"
";;
0;;
C';;
est;;
0;;
a;;
0;;
dire;;
que;;
tu;;
as;;
grande;;
envie;;
d';;
y;;
aller;;
:;;
"
";;
cest;;
tout;;
naturel;;
0;;
mes;;
enfants;;
0;;
arrange;;
ga;;
en-;;
"
";;
semble;;
";";;
mais;;
je;;
te;;
prviens;;
que;;
j';;
ai;;
besoin;;
de;;
toi;;
"
";;
jusqu';;
apres;;
les;;
vendanges;;
.;;
"
";;
--;;
Eat;PER;PER
0;PER;PER
o;PER;PER
que;;
je;;
ne;;
serai;;
pas;;
toujours;;
pret;;
pour;;
"
";;
vous;;
servir;;
0;;
lh;;
0;;
bas;;
comme;;
ici;;
?;;
"
";;
LL;ORG;ORG
put;;
ianne;;
0;;
je;;
te;;
pr6iens;;
aussi;;
e;;
i;;
"
";;
eux;;
planter;;
la;;
eremaillr;;
le;;
jour;;
oi;;
tu;;
feras;;
he-;;
"
";;
nir;;
ta;;
maison;;
0;;
et;;
je;;
ferai;;
les;;
frais;;
du;;
souper;;
";";;
tu;;
"
";;
m';;
entendsl;;
"
";;
Jeanne;PER;PER
emportait;;
son;;
linge;;
et;;
ses;;
habits;;
peJEANNB;;
NP0USR;;
BT;;
MBB;ORG;ORG
.;;
"
";;
1l;;
"
";;
i;;
peu;;
0;;
et;;
alle;LOC;LOC
les;;
rangeait;;
au;;
fur;;
et;;
i;;
mesuro;;
"
";;
Iouiao;PER;PER
laidait;;
quand;;
ella;;
le;;
pouvait;;
0;;
et;;
bientt;PER;PER
il;;
"
";;
ny;;
out;;
plus;;
quo;;
son;;
lit;;
a;;
transporter;;
0;;
ear;;
grand;;
"
";;
lLouis;MISC;MISC
avait;;
djh;PER;PER
eonduit;PER;PER
le;;
oolfre;LOC;LOC
et;;
larmoiro;PER;PER
de;;
"
";;
la;;
mre;;
Nannette;LOC;LOC
.;;
Il;;
fut;;
eonvonu;;
qua;;
le;;
dimanche;;
"
";;
uu;;
matin;;
on;;
demonterait;;
le;;
lit;;
0;;
M.;PER;PER
le;;
our;ORG;ORG
devant;;
"
";;
bnir;;
la;;
mison;MISC;MISC
le;MISC;MISC
soir;MISC;MISC
.;;
"
";;
e;;
aolgarteur;;
raient;;
au;;
rand;LOC;LOC
0;LOC;LOC
ail;LOC;LOC
.;;
"
";;
lLo;;
saedi;;
0;;
pendant;;
le;;
dlner;;
0;;
lon;;
vit;;
veir;LOC;LOC
une;;
"
";;
voiture;;
attele;;
d';;
un;;
petit;;
cheval;;
qui;;
puaraissait;;
fort;;
"
";;
vigoureux;;
";";;
elle;;
s';;
arreta;;
a;;
la;;
porte;;
0;;
et;;
il;;
en;;
desen-;;
"
";;
lit;;
un;;
beau;;
jeune;;
homme;;
qui;;
sauta;;
d';;
un;;
hond;LOC;LOC
"
";;
dans;;
la;;
maison;;
.;;
Chacun;;
le;;
regarda;;
avee;;
tonns-;;
"
";;
iuent;;
";";;
quand;;
il;;
vit;;
que;;
personne;;
ne;;
le;;
reconnais-;;
"
";;
sait;;
0;;
il;;
ta;;
son;;
chapeau;;
0;;
et;;
mattre;;
ITixier;PER;PER
s';;
cria;;
:;;
"
";;
a;;
Tiens;MISC;MISC
l;;
cest;;
le;;
colporteurIs;;
"
";;
Et;;
il;;
n'6tait;;
pas;;
difficile;;
de;;
le;;
reeonnatltre;;
h;;
la;;
"
";;
cicatrice;;
qui;;
lui;;
traversait;;
le;;
front;;
.;;
"
";;
a;;
Ma;MISC;MISC
foi;MISC;MISC
0;;
mon;;
garon;;
0;;
j';;
ai;;
bien;;
eru;;
que;;
tu;;
nus;;
"
";;
avais;;
oubli6s;;
";";;
nous;;
parlions;;
de;;
toi;;
quelquefois;;
"
";;
avee;;
N.;;
le;;
eure;LOC;LOC
0;;
qui;;
disait;;
toujours;;
que;;
nous;;
te;;
"
";;
reverrions;;
tt;;
ou;;
tard;;
.;;
"
";;
0;;
Il;;
avait;;
raison;;
0;;
le;;
eaint;;
hommel;;
Je;;
n';;
oublie;;
"
";;
point;;
ceus;;
qui;;
m';;
ont;;
oblig6;ORG;ORG
:;;
parle;;
-moi;;
de;;
lui;;
et;;
"
";;
dites;;
-moi;;
s';;
il;;
va;;
toujours;;
bien;;
.;;
"
";;
0;;
Oui;;
0;;
Dieu;MISC;MISC
mercei;MISC;MISC
0;;
et;;
j';;
espre;;
qu';;
il;;
vivra;;
long-;;
"
";;
temps;;
encore;;
";";;
mais;;
0;;
puisque;;
tu;;
nous;;
trouves;;
a;;
"
";;
tahble;;
0;;
mets;;
0;;
toi;;
a;;
ton;;
ancienne;;
plaee;;
0;;
sans;;
earauu-;;
"
";;
nie;;
0;;
tout;;
comme;;
autrefois;;
.;;
"
 ";;
De;;
grnd;;
cour;;
0;;
mattre;PER;PER
Tixier;PER;PER
:;;
mais;;
aua1;;
t;;
"
";;
TROISIRMR;ORG;ORG
PARTIR;;
.;;
"
";;
ravantjevais;;
dteler;PER;PER
man;PER;PER
hevalrui;;
agrand;PER;PER
ohaud;PER;PER
.;;
"
";;
0;;
Caest;PER;PER
juete;;
";";;
il;;
fut;;
avoir;;
soin;;
des;;
animaux;;
"
";;
qui;;
nous;;
rendent;;
service;;
";";;
mais;;
ne;;
te;;
d6range;;
pus;;
0;;
";";;
"
";;
on;;
va;;
mettre;;
ton;;
eheval;;
 ;;
l';;
abri;;
et;;
lui;;
donner;;
ce;;
"
";;
qu';;
il;;
lui;;
fut.n;;
"
";;
Le;;
